VLASS1.1.T01t09.J040743-393000, 2018-02-08 02:17:38, 2018-02-08 02:50:18, 0:08:57
VLASS1.1.T01t09.J041221-363000, 2018-02-08 01:01:22, 2018-02-08 01:32:00, 0:08:10
VLASS1.1.T01t09.J041231-373000, 2018-02-08 01:22:39, 2018-02-08 01:59:46, 0:09:47
VLASS1.1.T01t09.J041241-383000, 2018-02-08 01:49:13, 2018-02-08 02:29:59, 0:10:35
VLASS1.1.T01t09.J041252-393000, 2018-02-08 02:17:07, 2018-02-08 02:49:48, 0:08:58
VLASS1.1.T01t09.J041718-363000, 2018-02-08 01:01:53, 2018-02-08 01:32:31, 0:08:10
VLASS1.1.T01t09.J041731-373000, 2018-02-08 01:22:08, 2018-02-08 02:00:17, 0:09:48
VLASS1.1.T01t09.J041745-383000, 2018-02-08 01:49:45, 2018-02-08 02:29:28, 0:10:36
VLASS1.1.T01t09.J041800-393000, 2018-02-08 02:16:35, 2018-02-08 02:49:16, 0:08:57
VLASS1.1.T01t09.J042214-363000, 2018-02-08 01:02:25, 2018-02-08 01:33:02, 0:08:09
VLASS1.1.T01t09.J042232-373000, 2018-02-08 01:21:36, 2018-02-08 02:00:49, 0:09:46
VLASS1.1.T01t09.J042250-383000, 2018-02-08 01:50:16, 2018-02-08 02:28:57, 0:10:37
VLASS1.1.T01t09.J042309-393000, 2018-02-08 02:22:37, 2018-02-08 02:48:52, 0:05:21
VLASS1.1.T01t09.J042711-363000, 2018-02-08 01:02:56, 2018-02-08 01:33:33, 0:07:03
VLASS1.1.T01t09.J042731-373000, 2018-02-08 01:21:14, 2018-02-08 02:01:19, 0:07:57
VLASS1.1.T01t09.J042741-383000, 2018-02-08 01:50:47, 2018-02-08 02:28:38, 0:08:23
VLASS1.1.T01t09.J042752-393000, 2018-02-08 02:22:13, 2018-02-08 02:48:28, 0:04:35
VLASS1.1.T01t09.J042949-363000, 2018-02-08 01:03:13, 2018-02-08 01:33:50, 0:04:12
VLASS1.1.T01t10.J043228-363000, 2018-02-04 01:48:14, 2018-02-04 02:19:04, 0:06:40
VLASS1.1.T01t10.J043230-373000, 2018-02-04 02:11:40, 2018-02-04 02:47:17, 0:08:01
VLASS1.1.T01t10.J043232-383000, 2018-02-04 02:36:30, 2018-02-04 03:19:35, 0:08:42
